Omega_rs_over_c0,R_SYM,R_mu_only,R_eps_only,Rpow_mu_bounded,Rpow_eps_bounded
7.89750e-02,9.911752e-17,5.382257e-01,5.382257e-01,2.896869e-01,2.896869e-01
8.15262e-02,9.215338e-17,5.369175e-01,5.369175e-01,2.882804e-01,2.882804e-01
8.41598e-02,8.482166e-17,5.355357e-01,5.355357e-01,2.867985e-01,2.867985e-01
8.68785e-02,7.711927e-17,5.340771e-01,5.340771e-01,2.852383e-01,2.852383e-01
8.96850e-02,6.905214e-17,5.325383e-01,5.325383e-01,2.835970e-01,2.835970e-01
9.25821e-02,6.064297e-17,5.309160e-01,5.309160e-01,2.818718e-01,2.818718e-01
9.55729e-02,5.194770e-17,5.292071e-01,5.292071e-01,2.800602e-01,2.800602e-01
9.86603e-02,4.309424e-17,5.274083e-01,5.274083e-01,2.781595e-01,2.781595e-01
1.01847e-01,3.438330e-17,5.255165e-01,5.255165e-01,2.761676e-01,2.761676e-01
1.05137e-01,2.657236e-17,5.235288e-01,5.235288e-01,2.740824e-01,2.740824e-01
1.08534e-01,2.154937e-17,5.214422e-01,5.214422e-01,2.719020e-01,2.719020e-01
1.12040e-01,2.227570e-17,5.192543e-01,5.192543e-01,2.696250e-01,2.696250e-01
1.15659e-01,2.905705e-17,5.169626e-01,5.169626e-01,2.672503e-01,2.672503e-01
1.19395e-01,3.943371e-17,5.145652e-01,5.145652e-01,2.647774e-01,2.647774e-01
1.23252e-01,5.175110e-17,5.120605e-01,5.120605e-01,2.622059e-01,2.622059e-01
1.27234e-01,6.532227e-17,5.094473e-01,5.094473e-01,2.595365e-01,2.595365e-01
1.31344e-01,7.986083e-17,5.067249e-01,5.067249e-01,2.567702e-01,2.567702e-01
1.35587e-01,9.523294e-17,5.038935e-01,5.038935e-01,2.539087e-01,2.539087e-01
1.39967e-01,1.113667e-16,5.009537e-01,5.009537e-01,2.509547e-01,2.509547e-01
1.44488e-01,1.282163e-16,4.979071e-01,4.979071e-01,2.479115e-01,2.479115e-01
1.49156e-01,1.457463e-16,4.947559e-01,4.947559e-01,2.447834e-01,2.447834e-01
1.53974e-01,1.639235e-16,4.915037e-01,4.915037e-01,2.415759e-01,2.415759e-01
1.58948e-01,1.827125e-16,4.881547e-01,4.881547e-01,2.382950e-01,2.382950e-01
1.64083e-01,2.020728e-16,4.847145e-01,4.847145e-01,2.349481e-01,2.349481e-01
1.69383e-01,2.219564e-16,4.811898e-01,4.811898e-01,2.315436e-01,2.315436e-01
1.74855e-01,2.423060e-16,4.775885e-01,4.775885e-01,2.280908e-01,2.280908e-01
1.80503e-01,2.630536e-16,4.739199e-01,4.739199e-01,2.246001e-01,2.246001e-01
1.86334e-01,2.841188e-16,4.701944e-01,4.701944e-01,2.210828e-01,2.210828e-01
1.92354e-01,3.054074e-16,4.664235e-01,4.664235e-01,2.175508e-01,2.175508e-01
1.98567e-01,3.268097e-16,4.626198e-01,4.626198e-01,2.140171e-01,2.140171e-01
2.04982e-01,3.481998e-16,4.587971e-01,4.587971e-01,2.104947e-01,2.104947e-01
2.11604e-01,3.694335e-16,4.549693e-01,4.549693e-01,2.069971e-01,2.069971e-01
2.18439e-01,3.903476e-16,4.511512e-01,4.511512e-01,2.035374e-01,2.035374e-01
2.25496e-01,4.107588e-16,4.473571e-01,4.473571e-01,2.001284e-01,2.001284e-01
2.32780e-01,4.304628e-16,4.436011e-01,4.436011e-01,1.967819e-01,1.967819e-01
2.40300e-01,4.492338e-16,4.398959e-01,4.398959e-01,1.935084e-01,1.935084e-01
2.48062e-01,4.668242e-16,4.362527e-01,4.362527e-01,1.903164e-01,1.903164e-01
