A2,cEM_over_c0,cShear_over_c0
0.42242,1.315815,0.871771
0.42442,1.318102,0.871015
0.42643,1.320400,0.870256
0.42843,1.322711,0.869496
0.43043,1.325033,0.868734
0.43243,1.327368,0.867969
0.43443,1.329715,0.867203
0.43644,1.332075,0.866434
0.43844,1.334447,0.865664
0.44044,1.336833,0.864891
0.44244,1.339230,0.864117
0.44444,1.341641,0.863340
0.44645,1.344065,0.862561
0.44845,1.346502,0.861780
0.45045,1.348953,0.860997
0.45245,1.351417,0.860212
0.45445,1.353894,0.859424
0.45646,1.356385,0.858635
0.45846,1.358890,0.857843
0.46046,1.361409,0.857049
0.46246,1.363942,0.856253
0.46446,1.366489,0.855455
0.46647,1.369050,0.854654
0.46847,1.371626,0.853851
0.47047,1.374216,0.853046
0.47247,1.376821,0.852239
0.47447,1.379442,0.851429
0.47648,1.382077,0.850617
0.47848,1.384727,0.849802
0.48048,1.387392,0.848986
0.48248,1.390073,0.848167
0.48448,1.392770,0.847345
0.48649,1.395482,0.846521
0.48849,1.398210,0.845695
0.49049,1.400955,0.844866
0.49249,1.403715,0.844035
0.49449,1.406492,0.843201
0.49650,1.409285,0.842365
0.49850,1.412096,0.841527
0.50050,1.414923,0.840686
0.50250,1.417767,0.839842
0.50451,1.420628,0.838996
0.50651,1.423507,0.838147
0.50851,1.426403,0.837296
0.51051,1.429317,0.836442
0.51251,1.432249,0.835585
0.51452,1.435199,0.834726
0.51652,1.438167,0.833864
0.51852,1.441154,0.833000
0.52052,1.444160,0.832132
0.52252,1.447184,0.831262
0.52453,1.450228,0.830390
0.52653,1.453290,0.829514
0.52853,1.456373,0.828636
0.53053,1.459475,0.827755
0.53253,1.462597,0.826871
0.53454,1.465739,0.825984
0.53654,1.468901,0.825095
0.53854,1.472084,0.824202
0.54054,1.475287,0.823307
0.54254,1.478512,0.822408
0.54455,1.481758,0.821507
0.54655,1.485025,0.820603
0.54855,1.488315,0.819696
0.55055,1.491626,0.818785
0.55255,1.494959,0.817872
0.55456,1.498315,0.816956
0.55656,1.501693,0.816036
0.55856,1.505094,0.815114
0.56056,1.508519,0.814188
0.56256,1.511967,0.813259
0.56457,1.515439,0.812327
0.56657,1.518935,0.811392
0.56857,1.522455,0.810453
0.57057,1.525999,0.809511
0.57257,1.529569,0.808566
0.57458,1.533164,0.807617
0.57658,1.536784,0.806666
0.57858,1.540430,0.805710
0.58058,1.544102,0.804752
0.58258,1.547801,0.803790
0.58459,1.551526,0.802824
0.58659,1.555278,0.801855
0.58859,1.559058,0.800883
0.59059,1.562865,0.799907
0.59259,1.566700,0.798927
0.59460,1.570564,0.797944
0.59660,1.574456,0.796957
0.59860,1.578378,0.795966
0.60060,1.582328,0.794972
0.60260,1.586309,0.793974
0.60461,1.590320,0.792972
