A_strain,S(A),SR_over_SRmax,SR_V_per_s
0.68102,0.732262,0.732262,2.481554e+25
0.68353,0.729926,0.729926,2.473635e+25
0.68603,0.727573,0.727573,2.465662e+25
0.68853,0.725204,0.725204,2.457634e+25
0.69104,0.722819,0.722819,2.449550e+25
0.69354,0.720417,0.720417,2.441410e+25
0.69605,0.717998,0.717998,2.433213e+25
0.69855,0.715562,0.715562,2.424959e+25
0.70105,0.713110,0.713110,2.416647e+25
0.70356,0.710639,0.710639,2.408276e+25
0.70606,0.708152,0.708152,2.399846e+25
0.70856,0.705647,0.705647,2.391356e+25
0.71107,0.703124,0.703124,2.382805e+25
0.71357,0.700582,0.700582,2.374194e+25
0.71608,0.698023,0.698023,2.365521e+25
0.71858,0.695445,0.695445,2.356785e+25
0.72108,0.692849,0.692849,2.347986e+25
0.72359,0.690234,0.690234,2.339123e+25
0.72609,0.687599,0.687599,2.330196e+25
0.72859,0.684946,0.684946,2.321203e+25
0.73110,0.682273,0.682273,2.312144e+25
0.73360,0.679580,0.679580,2.303019e+25
0.73611,0.676867,0.676867,2.293825e+25
0.73861,0.674134,0.674134,2.284563e+25
0.74111,0.671381,0.671381,2.275232e+25
0.74362,0.668606,0.668606,2.265830e+25
0.74612,0.665811,0.665811,2.256358e+25
0.74862,0.662995,0.662995,2.246813e+25
0.75113,0.660157,0.660157,2.237196e+25
0.75363,0.657297,0.657297,2.227505e+25
0.75614,0.654415,0.654415,2.217739e+25
0.75864,0.651511,0.651511,2.207897e+25
0.76114,0.648584,0.648584,2.197978e+25
0.76365,0.645634,0.645634,2.187981e+25
0.76615,0.642661,0.642661,2.177906e+25
0.76865,0.639665,0.639665,2.167750e+25
0.77116,0.636644,0.636644,2.157513e+25
0.77366,0.633599,0.633599,2.147194e+25
0.77617,0.630529,0.630529,2.136792e+25
0.77867,0.627435,0.627435,2.126304e+25
0.78117,0.624315,0.624315,2.115731e+25
0.78368,0.621169,0.621169,2.105070e+25
0.78618,0.617997,0.617997,2.094321e+25
0.78868,0.614799,0.614799,2.083482e+25
0.79119,0.611573,0.611573,2.072551e+25
0.79369,0.608320,0.608320,2.061528e+25
0.79620,0.605039,0.605039,2.050410e+25
0.79870,0.601730,0.601730,2.039196e+25
0.80120,0.598393,0.598393,2.027884e+25
0.80371,0.595026,0.595026,2.016474e+25
0.80621,0.591629,0.591629,2.004962e+25
0.80871,0.588202,0.588202,1.993348e+25
0.81122,0.584744,0.584744,1.981630e+25
0.81372,0.581255,0.581255,1.969805e+25
0.81623,0.577733,0.577733,1.957872e+25
0.81873,0.574180,0.574180,1.945829e+25
0.82123,0.570593,0.570593,1.933674e+25
0.82374,0.566972,0.566972,1.921404e+25
0.82624,0.563317,0.563317,1.909018e+25
0.82874,0.559627,0.559627,1.896513e+25
0.83125,0.555902,0.555902,1.883887e+25
0.83375,0.552139,0.552139,1.871137e+25
0.83626,0.548340,0.548340,1.858261e+25
0.83876,0.544502,0.544502,1.845256e+25
0.84126,0.540626,0.540626,1.832119e+25
0.84377,0.536710,0.536710,1.818848e+25
0.84627,0.532753,0.532753,1.805440e+25
0.84877,0.528755,0.528755,1.791891e+25
0.85128,0.524715,0.524715,1.778198e+25
0.85378,0.520631,0.520631,1.764358e+25
0.85629,0.516502,0.516502,1.750368e+25
0.85879,0.512329,0.512329,1.736223e+25
0.86129,0.508108,0.508108,1.721921e+25
0.86380,0.503840,0.503840,1.707456e+25
0.86630,0.499523,0.499523,1.692826e+25
0.86880,0.495155,0.495155,1.678025e+25
0.87131,0.490736,0.490736,1.663048e+25
0.87381,0.486264,0.486264,1.647893e+25
0.87632,0.481737,0.481737,1.632552e+25
0.87882,0.477154,0.477154,1.617021e+25
0.88132,0.472514,0.472514,1.601295e+25
0.88383,0.467814,0.467814,1.585367e+25
0.88633,0.463053,0.463053,1.569232e+25
0.88883,0.458228,0.458228,1.552883e+25
0.89134,0.453339,0.453339,1.536313e+25
0.89384,0.448382,0.448382,1.519515e+25
0.89635,0.443355,0.443355,1.502481e+25
0.89885,0.438257,0.438257,1.485203e+25
0.90135,0.433084,0.433084,1.467673e+25
0.90386,0.427834,0.427834,1.449882e+25
0.90636,0.422504,0.422504,1.431819e+25
0.90886,0.417091,0.417091,1.413474e+25
0.91137,0.411592,0.411592,1.394837e+25
0.91387,0.406002,0.406002,1.375894e+25
0.91638,0.400319,0.400319,1.356635e+25
0.91888,0.394538,0.394538,1.337044e+25
0.92138,0.388655,0.388655,1.317107e+25
0.92389,0.382665,0.382665,1.296808e+25
0.92639,0.376563,0.376563,1.276129e+25
0.92889,0.370344,0.370344,1.255053e+25
0.93140,0.364001,0.364001,1.233558e+25
0.93390,0.357528,0.357528,1.211623e+25
0.93641,0.350918,0.350918,1.189223e+25
0.93891,0.344163,0.344163,1.166330e+25
0.94141,0.337254,0.337254,1.142917e+25
0.94392,0.330182,0.330182,1.118949e+25
0.94642,0.322935,0.322935,1.094391e+25
0.94892,0.315502,0.315502,1.069201e+25
0.95143,0.307870,0.307870,1.043335e+25
0.95393,0.300022,0.300022,1.016740e+25
0.95644,0.291942,0.291942,9.893573e+24
0.95894,0.283610,0.283610,9.611203e+24
0.96144,0.275002,0.275002,9.319509e+24
0.96395,0.266093,0.266093,9.017587e+24
0.96645,0.256851,0.256851,8.704372e+24
0.96895,0.247238,0.247238,8.378599e+24
0.97146,0.237209,0.237209,8.038741e+24
0.97396,0.226710,0.226710,7.682928e+24
0.97647,0.215671,0.215671,7.308832e+24
0.97897,0.204005,0.204005,6.913483e+24
0.98147,0.191597,0.191597,6.493003e+24
0.98398,0.178293,0.178293,6.042146e+24
0.98648,0.163874,0.163874,5.553518e+24
0.98898,0.148016,0.148016,5.016094e+24
0.99149,0.130193,0.130193,4.412079e+24
0.99399,0.109448,0.109448,3.709080e+24
0.99650,0.083638,0.083638,2.834381e+24
0.99900,0.044710,0.044710,1.515177e+24
