A2,H_shear_redshift,H_EM_phase
0.42442,0.871015,1.318102
0.42643,0.870256,1.320400
0.42843,0.869496,1.322711
0.43043,0.868734,1.325033
0.43243,0.867969,1.327368
0.43443,0.867203,1.329715
0.43644,0.866434,1.332075
0.43844,0.865664,1.334447
0.44044,0.864891,1.336833
0.44244,0.864117,1.339230
0.44444,0.863340,1.341641
0.44645,0.862561,1.344065
0.44845,0.861780,1.346502
0.45045,0.860997,1.348953
0.45245,0.860212,1.351417
0.45445,0.859424,1.353894
0.45646,0.858635,1.356385
0.45846,0.857843,1.358890
0.46046,0.857049,1.361409
0.46246,0.856253,1.363942
0.46446,0.855455,1.366489
0.46647,0.854654,1.369050
0.46847,0.853851,1.371626
0.47047,0.853046,1.374216
0.47247,0.852239,1.376821
0.47447,0.851429,1.379442
0.47648,0.850617,1.382077
0.47848,0.849802,1.384727
0.48048,0.848986,1.387392
0.48248,0.848167,1.390073
0.48448,0.847345,1.392770
0.48649,0.846521,1.395482
0.48849,0.845695,1.398210
0.49049,0.844866,1.400955
0.49249,0.844035,1.403715
0.49449,0.843201,1.406492
0.49650,0.842365,1.409285
0.49850,0.841527,1.412096
0.50050,0.840686,1.414923
0.50250,0.839842,1.417767
0.50451,0.838996,1.420628
0.50651,0.838147,1.423507
0.50851,0.837296,1.426403
0.51051,0.836442,1.429317
0.51251,0.835585,1.432249
0.51452,0.834726,1.435199
0.51652,0.833864,1.438167
0.51852,0.833000,1.441154
0.52052,0.832132,1.444160
0.52252,0.831262,1.447184
0.52453,0.830390,1.450228
0.52653,0.829514,1.453290
0.52853,0.828636,1.456373
0.53053,0.827755,1.459475
0.53253,0.826871,1.462597
0.53454,0.825984,1.465739
0.53654,0.825095,1.468901
0.53854,0.824202,1.472084
0.54054,0.823307,1.475287
0.54254,0.822408,1.478512
0.54455,0.821507,1.481758
0.54655,0.820603,1.485025
0.54855,0.819696,1.488315
0.55055,0.818785,1.491626
0.55255,0.817872,1.494959
0.55456,0.816956,1.498315
0.55656,0.816036,1.501693
0.55856,0.815114,1.505094
0.56056,0.814188,1.508519
0.56256,0.813259,1.511967
0.56457,0.812327,1.515439
0.56657,0.811392,1.518935
0.56857,0.810453,1.522455
0.57057,0.809511,1.525999
0.57257,0.808566,1.529569
0.57458,0.807617,1.533164
0.57658,0.806666,1.536784
0.57858,0.805710,1.540430
0.58058,0.804752,1.544102
0.58258,0.803790,1.547801
0.58459,0.802824,1.551526
0.58659,0.801855,1.555278
0.58859,0.800883,1.559058
0.59059,0.799907,1.562865
0.59259,0.798927,1.566700
0.59460,0.797944,1.570564
0.59660,0.796957,1.574456
0.59860,0.795966,1.578378
0.60060,0.794972,1.582328
0.60260,0.793974,1.586309
0.60461,0.792972,1.590320
0.60661,0.791966,1.594362
0.60861,0.790957,1.598434
0.61061,0.789943,1.602538
0.61261,0.788926,1.606673
0.61462,0.787905,1.610841
0.61662,0.786879,1.615042
0.61862,0.785850,1.619275
0.62062,0.784817,1.623542
0.62262,0.783779,1.627843
0.62463,0.782738,1.632178
0.62663,0.781692,1.636548
0.62863,0.780642,1.640953
0.63063,0.779588,1.645394
0.63263,0.778529,1.649871
0.63464,0.777466,1.654385
0.63664,0.776399,1.658937
0.63864,0.775328,1.663526
0.64064,0.774251,1.668153
0.64264,0.773171,1.672819
0.64465,0.772086,1.677525
0.64665,0.770996,1.682270
0.64865,0.769902,1.687056
0.65065,0.768802,1.691883
0.65265,0.767699,1.696752
0.65466,0.766590,1.701663
0.65666,0.765477,1.706617
0.65866,0.764358,1.711615
0.66066,0.763235,1.716656
0.66266,0.762107,1.721743
0.66467,0.760974,1.726874
