A2,S,Z_SYM_ohm,Z_mu_only_ohm,Z_eps_only_ohm
0.22022,0.883051,376.7303,354.0165,400.9014
0.22222,0.881917,376.7303,353.7891,401.1592
0.22422,0.880781,376.7303,353.5612,401.4177
0.22623,0.879644,376.7303,353.3329,401.6771
0.22823,0.878505,376.7303,353.1041,401.9374
0.23023,0.877365,376.7303,352.8749,402.1984
0.23223,0.876223,376.7303,352.6452,402.4604
0.23423,0.875080,376.7303,352.4151,402.7232
0.23624,0.873936,376.7303,352.1845,402.9868
0.23824,0.872790,376.7303,351.9535,403.2513
0.24024,0.871642,376.7303,351.7221,403.5167
0.24224,0.870493,376.7303,351.4901,403.7830
0.24424,0.869342,376.7303,351.2577,404.0501
0.24625,0.868190,376.7303,351.0249,404.3181
0.24825,0.867036,376.7303,350.7916,404.5871
0.25025,0.865881,376.7303,350.5578,404.8569
0.25225,0.864724,376.7303,350.3235,405.1276
0.25425,0.863566,376.7303,350.0888,405.3992
0.25626,0.862406,376.7303,349.8536,405.6718
0.25826,0.861244,376.7303,349.6179,405.9452
0.26026,0.860081,376.7303,349.3818,406.2196
0.26226,0.858916,376.7303,349.1452,406.4949
0.26426,0.857750,376.7303,348.9081,406.7712
0.26627,0.856582,376.7303,348.6705,407.0483
0.26827,0.855413,376.7303,348.4324,407.3265
0.27027,0.854242,376.7303,348.1938,407.6056
0.27227,0.853069,376.7303,347.9547,407.8856
0.27427,0.851895,376.7303,347.7152,408.1666
0.27628,0.850719,376.7303,347.4751,408.4486
0.27828,0.849542,376.7303,347.2346,408.7316
0.28028,0.848363,376.7303,346.9935,409.0155
0.28228,0.847182,376.7303,346.7520,409.3004
0.28428,0.846000,376.7303,346.5099,409.5863
0.28629,0.844816,376.7303,346.2673,409.8733
0.28829,0.843630,376.7303,346.0243,410.1612
0.29029,0.842443,376.7303,345.7807,410.4502
0.29229,0.841253,376.7303,345.5366,410.7401
0.29429,0.840063,376.7303,345.2919,411.0311
0.29630,0.838870,376.7303,345.0468,411.3232
0.29830,0.837676,376.7303,344.8011,411.6162
0.30030,0.836480,376.7303,344.5549,411.9103
0.30230,0.835283,376.7303,344.3082,412.2055
0.30430,0.834084,376.7303,344.0609,412.5017
0.30631,0.832883,376.7303,343.8131,412.7990
0.30831,0.831680,376.7303,343.5648,413.0974
0.31031,0.830475,376.7303,343.3159,413.3969
0.31231,0.829269,376.7303,343.0665,413.6974
0.31431,0.828061,376.7303,342.8166,413.9991
0.31632,0.826851,376.7303,342.5661,414.3018
0.31832,0.825640,376.7303,342.3150,414.6056
0.32032,0.824427,376.7303,342.0634,414.9106
0.32232,0.823212,376.7303,341.8112,415.2167
0.32432,0.821995,376.7303,341.5585,415.5239
0.32633,0.820776,376.7303,341.3052,415.8323
0.32833,0.819556,376.7303,341.0513,416.1418
0.33033,0.818333,376.7303,340.7969,416.4525
0.33233,0.817109,376.7303,340.5419,416.7643
0.33433,0.815883,376.7303,340.2864,417.0773
0.33634,0.814655,376.7303,340.0302,417.3915
0.33834,0.813426,376.7303,339.7735,417.7069
0.34034,0.812194,376.7303,339.5162,418.0234
0.34234,0.810961,376.7303,339.2583,418.3412
0.34434,0.809725,376.7303,338.9998,418.6602
0.34635,0.808488,376.7303,338.7407,418.9804
0.34835,0.807249,376.7303,338.4811,419.3018
0.35035,0.806008,376.7303,338.2208,419.6245
0.35235,0.804765,376.7303,337.9599,419.9484
0.35435,0.803521,376.7303,337.6984,420.2736
0.35636,0.802274,376.7303,337.4364,420.6000
0.35836,0.801025,376.7303,337.1737,420.9277
0.36036,0.799775,376.7303,336.9103,421.2567
0.36236,0.798522,376.7303,336.6464,421.5869
0.36436,0.797267,376.7303,336.3819,421.9185
0.36637,0.796011,376.7303,336.1167,422.2514
0.36837,0.794752,376.7303,335.8509,422.5856
0.37037,0.793492,376.7303,335.5844,422.9211
0.37237,0.792229,376.7303,335.3173,423.2579
0.37437,0.790965,376.7303,335.0496,423.5961
0.37638,0.789698,376.7303,334.7813,423.9357
0.37838,0.788430,376.7303,334.5123,424.2766
0.38038,0.787159,376.7303,334.2426,424.6189
0.38238,0.785886,376.7303,333.9723,424.9626
0.38438,0.784612,376.7303,333.7013,425.3077
0.38639,0.783335,376.7303,333.4297,425.6542
0.38839,0.782056,376.7303,333.1574,426.0021
0.39039,0.780775,376.7303,332.8844,426.3514
0.39239,0.779492,376.7303,332.6108,426.7022
0.39439,0.778206,376.7303,332.3364,427.0544
0.39640,0.776919,376.7303,332.0614,427.4080
0.39840,0.775630,376.7303,331.7858,427.7632
0.40040,0.774338,376.7303,331.5094,428.1198
0.40240,0.773044,376.7303,331.2323,428.4779
0.40440,0.771748,376.7303,330.9546,428.8375
0.40641,0.770450,376.7303,330.6761,429.1986
0.40841,0.769150,376.7303,330.3969,429.5613
0.41041,0.767847,376.7303,330.1170,429.9255
0.41241,0.766542,376.7303,329.8364,430.2912
0.41441,0.765235,376.7303,329.5551,430.6585
0.41642,0.763926,376.7303,329.2731,431.0274
0.41842,0.762615,376.7303,328.9903,431.3979
0.42042,0.761301,376.7303,328.7069,431.7699
0.42242,0.759985,376.7303,328.4226,432.1436
0.42442,0.758667,376.7303,328.1377,432.5189
0.42643,0.757346,376.7303,327.8519,432.8958
0.42843,0.756023,376.7303,327.5655,433.2744
0.43043,0.754698,376.7303,327.2783,433.6546
0.43243,0.753371,376.7303,326.9903,434.0365
0.43443,0.752041,376.7303,326.7016,434.4201
0.43644,0.750708,376.7303,326.4121,434.8054
0.43844,0.749374,376.7303,326.1218,435.1924
0.44044,0.748037,376.7303,325.8307,435.5811
0.44244,0.746697,376.7303,325.5389,435.9716
0.44444,0.745356,376.7303,325.2463,436.3639
0.44645,0.744011,376.7303,324.9529,436.7579
0.44845,0.742665,376.7303,324.6587,437.1537
0.45045,0.741316,376.7303,324.3637,437.5513
0.45245,0.739964,376.7303,324.0678,437.9507
0.45445,0.738610,376.7303,323.7712,438.3519
0.45646,0.737254,376.7303,323.4738,438.7550
0.45846,0.735895,376.7303,323.1755,439.1599
0.46046,0.734533,376.7303,322.8764,439.5668
0.46246,0.733169,376.7303,322.5765,439.9755
0.46446,0.731803,376.7303,322.2757,440.3861
0.46647,0.730433,376.7303,321.9741,440.7986
0.46847,0.729062,376.7303,321.6716,441.2131
0.47047,0.727687,376.7303,321.3683,441.6295
0.47247,0.726311,376.7303,321.0641,442.0480
0.47447,0.724931,376.7303,320.7591,442.4684
0.47648,0.723549,376.7303,320.4531,442.8908
0.47848,0.722164,376.7303,320.1463,443.3152
0.48048,0.720777,376.7303,319.8386,443.7417
0.48248,0.719387,376.7303,319.5301,444.1702
0.48448,0.717994,376.7303,319.2206,444.6008
0.48649,0.716598,376.7303,318.9102,445.0335
0.48849,0.715200,376.7303,318.5989,445.4683
0.49049,0.713799,376.7303,318.2867,445.9053
0.49249,0.712395,376.7303,317.9736,446.3444
0.49449,0.710989,376.7303,317.6596,446.7856
0.49650,0.709579,376.7303,317.3446,447.2291
0.49850,0.708167,376.7303,317.0287,447.6748
0.50050,0.706752,376.7303,316.7118,448.1227
0.50250,0.705335,376.7303,316.3940,448.5728
0.50451,0.703914,376.7303,316.0752,449.0252
0.50651,0.702491,376.7303,315.7554,449.4799
0.50851,0.701064,376.7303,315.4347,449.9370
0.51051,0.699635,376.7303,315.1130,450.3963
0.51251,0.698203,376.7303,314.7903,450.8580
0.51452,0.696768,376.7303,314.4666,451.3221
0.51652,0.695329,376.7303,314.1419,451.7886
0.51852,0.693888,376.7303,313.8162,452.2575
0.52052,0.692444,376.7303,313.4895,452.7289
0.52252,0.690997,376.7303,313.1617,453.2027
0.52453,0.689547,376.7303,312.8329,453.6790
0.52653,0.688094,376.7303,312.5031,454.1578
0.52853,0.686637,376.7303,312.1723,454.6392
0.53053,0.685178,376.7303,311.8403,455.1231
0.53253,0.683716,376.7303,311.5073,455.6096
0.53454,0.682250,376.7303,311.1733,456.0987
0.53654,0.680781,376.7303,310.8382,456.5904
0.53854,0.679309,376.7303,310.5019,457.0849
0.54054,0.677834,376.7303,310.1646,457.5820
0.54254,0.676356,376.7303,309.8262,458.0818
0.54455,0.674874,376.7303,309.4866,458.5843
0.54655,0.673389,376.7303,309.1460,459.0897
0.54855,0.671901,376.7303,308.8042,459.5978
0.55055,0.670410,376.7303,308.4613,460.1087
0.55255,0.668915,376.7303,308.1172,460.6225
0.55456,0.667417,376.7303,307.7720,461.1392
0.55656,0.665915,376.7303,307.4256,461.6588
0.55856,0.664410,376.7303,307.0780,462.1814
0.56056,0.662902,376.7303,306.7292,462.7069
0.56256,0.661390,376.7303,306.3793,463.2354
0.56457,0.659875,376.7303,306.0281,463.7669
0.56657,0.658356,376.7303,305.6758,464.3015
0.56857,0.656834,376.7303,305.3222,464.8392
